identifier,name,in_language,url,abstract,word_count,sections_count,citations_count,has_infobox,infobox_fields_count,categories,outgoing_links,referenceneed_flag,citation_density,structural_health,quality_tier
100000,Artificial Intelligence,en,https://en.wikipedia.org/wiki/Artificial_Intelligence,"Study of intelligent agents and machine cognition Comprehensive survey covering definitions, historical development, and research implications.",904,4,12,True,4,"['Science & Technology', 'Articles on Science']","['Game Theory', 'Silk Road', 'Byzantine Empire']",False,13.27,75.56,C Class
100001,Quantum Computing,en,https://en.wikipedia.org/wiki/Quantum_Computing,"Computation utilizing quantum mechanical phenomena Comprehensive survey covering definitions, historical development, and research implications.",1825,10,28,True,12,"['Science & Technology', 'Articles on Science', 'Open Source Tech Envoy Corpus']","['Postmodern Literature', 'Nile River Basin', 'Plate Tectonics', 'Film Noir', 'Surrealism', 'Bauhaus Movement']",False,15.34,97.39,B Class
100002,CRISPR Gene Editing,en,https://en.wikipedia.org/wiki/CRISPR_Gene_Editing,"Biotechnological molecular biology genetic editing tool Comprehensive survey covering definitions, historical development, and research implications.",147,1,1,False,0,"['Science & Technology', 'Articles on Science', 'Open Source Tech Envoy Corpus']","['Universal Declaration of Human Rights', 'Constitutional Law', 'Graphene']",True,6.8,36.94,Stub Class
100003,James Webb Space Telescope,en,https://en.wikipedia.org/wiki/James_Webb_Space_Telescope,"Premier infrared space observatory mission Comprehensive survey covering definitions, historical development, and research implications.",496,2,3,True,6,"['Science & Technology', 'Articles on Science']","['General Relativity', 'Space Race', 'Photosynthesis']",True,6.05,59.58,Start Class
100004,Thermodynamics,en,https://en.wikipedia.org/wiki/Thermodynamics,"Branch of physics dealing with heat and mechanical energy Comprehensive survey covering definitions, historical development, and research implications.",4042,10,37,True,22,"['Science & Technology', 'Articles on Science', 'Open Source Tech Envoy Corpus']","['General Relativity', 'Nile River Basin', 'Ancient Alexandria', 'Impressionism', 'Baroque Architecture', 'Harappan Civilization']",False,9.15,98.72,Good / Featured Article
100005,General Relativity,en,https://en.wikipedia.org/wiki/General_Relativity,"Geometric theory of gravitation published by Albert Einstein Comprehensive survey covering definitions, historical development, and research implications.",2250,7,25,True,13,"['Science & Technology', 'Articles on Science']","['Public Health', 'Microbiome', 'Photosynthesis', 'Space Race']",False,11.11,95.15,B Class
100006,Photosynthesis,en,https://en.wikipedia.org/wiki/Photosynthesis,"Biological process converting light energy into chemical energy Comprehensive survey covering definitions, historical development, and research implications.",1850,9,19,True,14,"['Science & Technology', 'Articles on Science', 'Open Source Tech Envoy Corpus']","['Silk Road', 'Bauhaus Movement', 'Classical Music', 'Surrealism', 'Thermodynamics', 'Postmodern Literature', 'Impressionism', 'Graphene']",False,10.27,93.86,B Class
100007,Superconductivity,en,https://en.wikipedia.org/wiki/Superconductivity,"Zero electrical resistance occurring in certain materials Comprehensive survey covering definitions, historical development, and research implications.",2424,9,24,True,12,"['Science & Technology', 'Articles on Science', 'Open Source Tech Envoy Corpus']","['Bauhaus Movement', 'Nile River Basin', 'Microbiome', 'Classical Music', 'Renaissance Humanism', 'Epistemology', 'James Webb Space Telescope', 'Sociology of Knowledge']",False,9.9,98.13,B Class
100008,Nanotechnology,en,https://en.wikipedia.org/wiki/Nanotechnology,"Manipulation of matter on an atomic and molecular scale Comprehensive survey covering definitions, historical development, and research implications.",3142,13,39,True,23,"['Science & Technology', 'Articles on Science', 'Open Source Tech Envoy Corpus']","['Film Noir', 'Renaissance Humanism', 'Dark Matter', 'Surrealism', 'Great Barrier Reef', 'Ottoman Empire', 'Constitutional Law']",False,12.41,100.0,Good / Featured Article
100009,Deep Learning,en,https://en.wikipedia.org/wiki/Deep_Learning,"Subset of machine learning based on artificial neural networks Comprehensive survey covering definitions, historical development, and research implications.",941,7,12,False,0,"['Science & Technology', 'Articles on Science']","['Game Theory', 'Renaissance Art', 'Mariana Trench', 'Ottoman Empire', 'Harappan Civilization']",False,12.75,62.77,C Class
100010,Graphene,en,https://en.wikipedia.org/wiki/Graphene,"Two-dimensional carbon allotrope with exceptional tensile strength Comprehensive survey covering definitions, historical development, and research implications.",3558,14,51,True,20,"['Science & Technology', 'Articles on Science', 'Open Source Tech Envoy Corpus']","['Behavioral Economics', 'Classical Music', 'Mariana Trench', 'Postmodern Literature', 'Thermodynamics', 'Space Race', 'Universal Declaration of Human Rights']",False,14.33,100.0,Good / Featured Article
