task_id,campaign_queue,priority,priority_score,name,quality_tier,word_count,citations_count,citation_density,structural_health,has_infobox,pagerank_authority,in_degree,recommended_action
SPRINT-0001,Stub Expansion,P1 - Critical,100.0,Higgs Boson,Stub Class,197,1,5.08,37.9,False,0.01264934282619524,61,Expand lead section beyond stub threshold (>500 words) and add at least 2 structured subheadings.
SPRINT-0002,Stub Expansion,P1 - Critical,98.6,Nile River Basin,Stub Class,148,2,13.51,44.37,False,0.022608487058962953,60,Expand lead section beyond stub threshold (>500 words) and add at least 2 structured subheadings.
SPRINT-0003,Stub Expansion,P1 - Critical,97.1,Public Health,Start Class,333,3,9.01,64.67,True,0.02061043513539955,59,Expand lead section beyond stub threshold (>500 words) and add at least 2 structured subheadings.
SPRINT-0004,TemplateData Infobox,P1 - Critical,96.6,Bauhaus Movement,C Class,2087,16,7.67,69.2,False,0.015265786011670404,61,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0005,Stub Expansion,P1 - Critical,95.7,Mount Everest,Stub Class,263,0,0.0,25.86,False,0.01673425922171307,58,Expand lead section beyond stub threshold (>500 words) and add at least 2 structured subheadings.
SPRINT-0006,TemplateData Infobox,P1 - Critical,95.6,Byzantine Empire,C Class,2134,11,5.15,59.2,False,0.02012451464332761,53,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0007,#1Lib1Ref Citation Deficit,P1 - Critical,95.4,Renaissance Art,Start Class,2560,1,0.39,70.35,True,0.0186730764885819,39,Add inline reliable citations (#1Lib1Ref). Target at least 20 secondary sources.
SPRINT-0008,TemplateData Infobox,P1 - Critical,94.6,Antarctic Ice Sheet,C Class,1893,8,4.23,55.39,False,0.006786014129416989,55,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0009,Stub Expansion,P1 - Critical,93.6,Ring of Fire,Stub Class,263,0,0.0,31.2,False,0.010560529145536885,57,Expand lead section beyond stub threshold (>500 words) and add at least 2 structured subheadings.
SPRINT-0010,Stub Expansion,P1 - Critical,93.6,Kabuki Theatre,Stub Class,79,2,25.32,37.74,False,0.02018897979177872,57,Expand lead section beyond stub threshold (>500 words) and add at least 2 structured subheadings.
SPRINT-0011,Stub Expansion,P1 - Critical,91.4,Homeric Epics,Stub Class,256,0,0.0,31.06,False,0.0166231327267477,55,Expand lead section beyond stub threshold (>500 words) and add at least 2 structured subheadings.
SPRINT-0012,TemplateData Infobox,P1 - Critical,91.2,Sociology of Knowledge,C Class,1716,11,6.41,63.28,False,0.021692885495870607,45,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0013,Stub Expansion,P1 - Critical,90.0,Mesopotamia,Stub Class,240,1,4.17,35.57,False,0.014757840740897735,54,Expand lead section beyond stub threshold (>500 words) and add at least 2 structured subheadings.
SPRINT-0014,TemplateData Infobox,P1 - Critical,88.7,Mariana Trench,C Class,1419,7,4.93,54.33,False,0.01574176439099697,50,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0015,Stub Expansion,P1 - Critical,88.6,Constitutional Law,Stub Class,143,1,6.99,35.74,False,0.009442901445232856,52,Expand lead section beyond stub threshold (>500 words) and add at least 2 structured subheadings.
SPRINT-0016,Stub Expansion,P1 - Critical,87.1,CRISPR Gene Editing,Stub Class,147,1,6.8,36.94,False,0.012361135635085906,41,Expand lead section beyond stub threshold (>500 words) and add at least 2 structured subheadings.
SPRINT-0017,#1Lib1Ref Citation Deficit,P1 - Critical,85.6,Surrealism,Start Class,739,2,2.71,42.56,False,0.01290332220651889,62,Add inline reliable citations (#1Lib1Ref). Target at least 6 secondary sources.
SPRINT-0018,TemplateData Infobox,P1 - Critical,80.4,Lake Baikal,C Class,1221,14,11.47,65.34,False,0.015058094684700525,52,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0019,#1Lib1Ref Citation Deficit,P2 - High,74.7,Behavioral Economics,Start Class,659,1,1.52,52.66,True,0.00890973375324468,55,Add inline reliable citations (#1Lib1Ref). Target at least 5 secondary sources.
SPRINT-0020,TemplateData Infobox,P2 - High,72.3,Introduction to Classical Music (Vol. 6),C Class,2151,15,6.97,67.71,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0021,TemplateData Infobox,P2 - High,71.8,Global Impact of Microbiome,C Class,2144,9,4.2,59.93,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0022,TemplateData Infobox,P2 - High,71.6,Space Race,C Class,1009,9,8.92,63.05,False,0.03449060617353381,64,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0023,TemplateData Infobox,P2 - High,71.1,Deep Learning,C Class,941,12,12.75,62.77,False,0.012134366376879988,66,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
